F;txt
1.0e-12;1,0 pF
1.5e-12;1,5 pF
2.2e-12;2,2 pF
2.7e-12;2,7 pF
3.3e-12;3,3 pF
3.9e-12;3,9 pF
4.7e-12;4,7 pF
5e-12;5 pF
5.6e-12;5,6 pF
6.8e-12;6,8 pF
8.2e-12;8,2 pF
10e-12;10 pF
12e-12;12 pF
15e-12;15 pF
18e-12;18 pF
22e-12;22 pF
27e-12;27 pF
33e-12;33 pF
39e-12;39 pF
47e-12;47 pF
56e-12;56 pF
68e-12;68 pF
82e-12;82 pF
100e-12;100 pF
120e-12;120 pF
150e-12;150 pF
180e-12;180 pF
220e-12;220 pF
270e-12;270 pF
330e-12;330 pF
390e-12;390 pF
470e-12;470 pF
560e-12;560 pF
680e-12;680 pF
820e-12;820 pF
1e-9;1 nF
1.5e-9;1,5 nF
1.8e-9;1,8 nF
2.2e-9;2,2 nF
2.7e-9;2,7 nF
3.3e-9;3,3 nF
3.9e-9;3,9 nF
4.7e-9;4,7 nF
5.6e-9;5,6 nF
6.8e-9;6,8 nF
8.2e-9;8,2 nF
10e-9;10 nF
15e-9;15 nF
18e-9;18 nF
22e-9;22 nF
27e-9;27 nF
33e-9;33 nF
39e-9;39 nF
47e-9;47 nF
56e-9;56 nF
68e-9;68 nF
82e-9;82 nF
0.1e-6;0,1 uF
100e-9;100 nF
150e-9;150 nF
0.22e-6;0,22 uF
220e-9;220 nF
270e-9;270 nF
0.33e-6;0,33 uF
330e-9;330 nF
0.47e-6;0,47 uF
470e-9;470 nF
560e-9;560 nF
680e-9;680 nF
0.68e-6;0,68 uF
0.85e-6;0,85 uF
0.90e-6;0,90 uF
0.95e-6;0,95 uF
1e-6;1 uF
1.2e-6;1,2 uF
1.5e-6;1,5 uF
2e-6;2 uF
2.2e-6;2,2 uF
2.5e-6;2,5 uF
3e-6;3 uF
3.3e-6;3,3 uF
4e-6;4 uF
4.7e-6;4,7 uF
5e-6;5 uF
6e-6;6 uF
6.8e-6;6,8 uF
7e-6;7 uF
8e-6;8 uF
10e-6;10 uF
12e-6;12 uF
15e-6;15 uF
16e-6;16 uF
18e-6;18 uF
20e-6;20 uF
22e-6;22 uF
25e-6;25 uF
30e-6;30 uF
33e-6;33 uF
35e-6;35 uF
40e-6;40 uF
47e-6;47 uF
50e-6;50 uF
56e-6;56 uF
60e-6;60 uF
68e-6;68 uF
80e-6;80 uF
82e-6;82 uF
100e-6;100 uF
120e-6;120 uF
150e-6;150 uF
180e-6;180 uF
220e-6;220 uF
270e-6;270 uF
330e-6;330 uF
390e-6;390 uF
470e-6;470 uF
560e-6;560 uF
680e-6;680 uF
820e-6;820 uF
1000e-6;1000 uF
1200e-6;1200 uF
1500e-6;1500 uF
1800e-6;1800 uF
2200e-6;2200 uF
2700e-6;2700 uF
3300e-6;3300 uF
3900e-6;3900 uF
4700e-6;4700 uF
5600e-6;5600 uF
6800e-6;6800 uF
8200e-6;8200 uF
10000e-6;10000 uF
15000e-6;15000 uF
22000e-6;22000 uF
0.022;0,022 F
0.10;0,10 F
;" "